Rank,Name,Revenues,Profits
654,COUNTRY Financial,3395.8,110.6
655,Alliant Energy,3383.7,319.8
656,Hawaiian Electric Industries,3375,138.7
657,First Solar,3368.5,-96.3
658,Lennox International,3358,90
659,Ascena Retail Group,3353.3,162.2
660,Cabot,3346,388
661,Schnitzer Steel Industries,3340.9,27.4
662,Ametek,3334.2,459.1
663,USG,3330,-126
664,Axiall,3325.8,120.6
665,H&amp;R Block,3310.9,265.9
666,HSN,3306.9,130.7
667,Pioneer Natural Resources,3306.1,192.3
668,Pinnacle West Capital,3301.8,381.5
669,Emergency Medical Services,3300.1,48.5
670,Babcock &amp; Wilcox,3291.4,227.7
671,ADT,3228,394
672,WPX Energy,3217,-223
673,Puget Energy,3215.2,273.8
674,Polaris Industries,3209.8,312.3
675,Magellan Health Services,3207.4,151
676,Apollo Global Management,3196.4,311
677,Cytec Industries,3195.5,188
678,ServiceMaster,3193.3,-713.5
679,NVR,3193.2,180.6
680,Perrigo,3173.2,401.6
681,KLA-Tencor,3171.9,756
682,Regal-Beloit,3166.9,195.6
683,W.R. Grace,3155.5,94.1
684,Helmerich &amp; Payne,3151.8,581
685,Saks,3147.6,62.9
686,Leap Wireless International,3142.3,-189.3
687,Fastenal,3133.6,420.5
688,Hub Group,3124.1,68
689,EchoStar,3121.7,211
690,Nasdaq OMX Group,3119,352
691,Cabela's,3112.7,173.5
692,TECO Energy,3110.8,212.7
693,CUNA Mutual Group,3103.1,150.4
694,Snap-on,3099.2,306.1
695,Rush Enterprises,3090.6,62.5
696,B/E Aerospace,3085.3,233.7
697,Thor Industries,3084.7,121.7
698,Exide Technologies,3084.7,56.7
699,Rent A Center,3082.6,183.5
700,Chiquita Brands International,3078.3,-405
701,NBTY,3061,146.5
702,salesforce.com,3050.2,-270.4
703,Flowers Foods,3046.5,136.1
704,Harsco,3046,-254.6
705,Hubbell,3044.4,299.7
706,Valmont Industries,3029.5,234.1
707,Huntington Bancshares,3028.1,641
708,Endo Health Solutions,3027.4,-740.3
709,T. Rowe Price,3022.5,883.6
710,Chemtura,3016,101
711,ScanSource,3015.3,74.3
712,Iron Mountain,3007.4,171.7
713,Markel,3000.1,253.4
714,Roper Industries,2993.5,483.4
715,PolyOne,2992.6,71.9
716,Diebold,2991.7,78.5
717,American National Insurance,2987.1,191
718,NV Energy,2979.2,321.9
719,Bon-Ton Stores,2978.8,-21.6
720,Carlyle Group,2973.1,20.3
721,C.R. Bard,2958.1,530.1
722,Select Medical Holdings,2949,148.2
723,American Axle &amp; Manufacturing,2930.9,367.7
724,Dentsply International,2928.4,314.2
725,Church &amp; Dwight,2921.9,349.8
726,CME Group,2914.6,896.3
727,Vornado Realty Trust,2913.9,617.3
728,Pall,2902.5,319.3
729,Penn National Gaming,2899.5,212
730,StanCorp Financial,2898.4,138.5
731,American Water Works,2896.3,358.1
732,On Semiconductor,2894.9,-90.6
733,Cooper-Standard Holdings,2880.9,102.8
734,American Tower,2876,637.3
735,Fossil,2857.5,343.4
736,Exterran Holdings,2854.2,-39.5
737,Lincoln Electric Holdings,2853.4,257.4
738,Iasis Healthcare,2852.8,22.9
739,Scotts Miracle-Gro,2852.8,106.5
740,Packaging Corp. of America,2843.9,163.8
741,LVB Acquisition,2838.1,-458.8
742,Regal Entertainment Group,2824.2,144.8
743,International Flavors &amp; Fragrances,2821.4,254.1
744,Brinker International,2820.7,151.2
745,Alere,2818.8,-78.2
746,Republic Airways Holdings,2810.9,51.3
747,Varian Medical Systems,2807,427
748,IAC/InterActiveCorp,2800.9,159.3
749,Urban Outfitters,2794.9,237.3
750,Landstar System,2793.4,129.8
751,Mercury General,2783.4,116.9
752,Oceaneering International,2782.6,289
753,Warner Music Group,2780,-112
754,Boise Cascade,2779.1,41.5
755,Brookdale Senior Living,2770.1,-65.6
756,Education Management,2761,-1515.7
757,Amkor Technology,2759.5,41.8
758,Steelcase,2749.5,56.7
759,Albemarle,2745.4,311.5
760,Dresser-Rand Group,2736.4,179
761,Kennametal,2736.2,307.2
762,Armstrong World Industries,2734.6,131.3
763,Chipotle Mexican Grill,2731.2,278
764,SandRidge Energy,2731,141.6
765,Moody's,2730.3,690
766,Patterson-UTI Energy,2723.4,299.5
767,Brown-Forman,2723,513
768,Southwestern Energy,2715,-707.1
769,Tetra Tech,2711.1,104.4
770,Weis Markets,2701.4,82.5
771,Analog Devices,2701.1,651.2
772,Comerica,2681,521
773,Annaly Capital Management,2674.5,1735.9
774,Cerner,2665.4,397.2
775,Lam Research,2665.2,168.7
776,Teradata,2665,419
777,Legg Mason,2662.6,220.8
778,Guess,2658.6,178.7
779,Constellation Brands,2654.3,445
780,TD Ameritrade,2647,586
781,West,2638,125.5
782,Medical Mutual of Ohio,2634.4,45.4
783,Spartan Stores,2634.2,31.8
784,Sigma-Aldrich,2623,460
785,Genesco,2604.8,110.5
786,Crane,2604.6,217
787,AMC Entertainment,2600.6,-82
788,Brown Shoe,2598.1,27.5
789,Citrix Systems,2586.1,352.5
790,Tupperware Brands,2583.8,193
791,ManTech International,2582.3,95
792,Chico's FAS,2581.1,180.2
793,Cracker Barrel Old Country Store,2580.2,103.1
794,General Growth Properties,2578.2,-481.2
795,DST Systems,2576.6,324
